group_type,group_name,scenario,metric,n_attempted,n_normally_completed,n_excluded,excluded_reasons,median,q1,q3,iqr,maximum
input_batch,02_right_angle_overlapping_circles/input_01_original,2,path_error_p95,21,19,2,end_reason=timeout,0.10074361143534238,0.08523049043800499,0.11587666915863368,0.030646178720628692,0.17326189335665224
input_batch,02_right_angle_overlapping_circles/input_01_original,2,path_error_max,21,19,2,end_reason=timeout,0.10922413866203176,0.09489341989128297,0.13300117475061835,0.038107754859335374,0.17549083244494793
input_batch,02_right_angle_overlapping_circles/input_01_original,2,heading_abs_error_rms,21,19,2,end_reason=timeout,0.487926408481656,0.39600611858811274,0.6650761188518357,0.26907000026372296,1.0668255192196356
input_batch,02_right_angle_overlapping_circles/input_01_original,2,final_position_error,21,19,2,end_reason=timeout,0.04767187434364734,0.03834919301019167,0.049743477412694435,0.011394284402502765,0.04985842674262947
input_batch,02_right_angle_overlapping_circles/input_01_original,2,final_heading_abs_error,21,19,2,end_reason=timeout,0.0916743722973159,0.051158953754990355,0.09382340903055386,0.042664455275563506,0.09846123566024545
input_batch,02_right_angle_overlapping_circles/input_01_original,2,execution_time,21,19,2,end_reason=timeout,4.220395565032959,4.1577500104904175,4.614343643188477,0.4565936326980591,9.452012777328491
input_batch,02_right_angle_overlapping_circles/input_01_original,2,execution_time_increase_percent,21,19,2,end_reason=timeout,21.851311602908478,19.058769051115735,32.74603912921486,13.687270078099122,187.78488863242862
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,position_error_rms,10,10,0,,0.07231266509337202,0.06773750519697164,0.07658024096254075,0.008842735765569112,0.08300591691218893
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,position_error_p95,10,10,0,,0.11451652053727576,0.10592141096961119,0.11609721271611173,0.01017580174650054,0.14081193329717132
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,position_error_max,10,10,0,,0.12088435043049026,0.11827104747634314,0.13377369817858542,0.015502650702242285,0.14364196960147477
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,path_error_rms,10,10,0,,0.05345778763542472,0.05142593462412711,0.05619850113259083,0.0047725665084637214,0.0578916779019644
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,path_error_p95,10,10,0,,0.09546766725342788,0.07927408151175254,0.1008341873576419,0.021560105845889355,0.1083183720457394
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,path_error_max,10,10,0,,0.10317157859793444,0.09509629482437754,0.11643280969009134,0.021336514865713807,0.11802559804217111
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,heading_abs_error_rms,10,10,0,,0.3872627671492458,0.35826615020194275,0.43057136660332784,0.0723052164013851,0.49223401904353054
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,final_position_error,10,10,0,,0.04965444880776053,0.049094296366804624,0.04981648734236038,0.0007221909755557587,0.049919249696806826
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,final_heading_abs_error,10,10,0,,0.01951874608546067,0.009685484509960984,0.05815997141026941,0.04847448690030842,0.09927291958079287
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,execution_time,10,10,0,,3.8626551628112793,3.0691059231758118,4.813553750514984,1.7444478273391724,7.3026344776153564
input_batch,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,execution_time_increase_percent,10,10,0,,42.56853502000325,13.239192395983913,79.60586377375355,66.36667137776965,176.90077397764813
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,position_error_rms,10,10,0,,0.0638273039673688,0.061187539677076914,0.06600281137603714,0.004815271698960226,0.07701026155802536
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,position_error_p95,10,10,0,,0.11166818765313227,0.10338703877081806,0.11654335590304117,0.013156317132223108,0.14133490997982
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,position_error_max,10,10,0,,0.1156037694088798,0.10827116102261185,0.12641178732069602,0.018140626298084175,0.1438526843602303
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,path_error_rms,10,10,0,,0.032679647876939964,0.030753011604344488,0.034740683156660436,0.003987671552315948,0.036071897052729285
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,path_error_p95,10,10,0,,0.057728945394212194,0.05505243470991938,0.06061750291574493,0.0055650682058255505,0.06323887187816465
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,path_error_max,10,10,0,,0.05960611694841721,0.05712898728197796,0.06322428910945518,0.006095301827477223,0.06434604267701918
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,heading_abs_error_rms,10,10,0,,0.24864572630382556,0.24258037744143718,0.2532206883831477,0.010640310941710529,0.2751542556081496
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,final_position_error,10,10,0,,0.048577609915172446,0.0471973303100919,0.049648917301734326,0.0024515869916424265,0.0499047751782407
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,final_heading_abs_error,10,10,0,,0.08674082894369461,0.0550553745275687,0.09240179704878504,0.03734642252121634,0.0978938626298631
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,execution_time,10,10,0,,3.2689319849014282,3.2538326382637024,3.302215337753296,0.048382699489593506,3.428480863571167
input_batch,02_right_angle_overlapping_circles/input_03_final_start_and_goal,2,execution_time_increase_percent,10,10,0,,-1.9354323997701757,-2.5571087932471066,-1.1832156468128237,1.373893146434283,2.601003313428344
input_batch,03_multiple_corridors/input_01,3,position_error_rms,10,10,0,,0.05622087963980448,0.05423700151954608,0.058449728252606074,0.004212726733059995,0.11058832629871569
input_batch,03_multiple_corridors/input_01,3,position_error_p95,10,10,0,,0.1141324505405801,0.10553629187007883,0.12375973732524106,0.018223445455162232,0.2658457279081668
input_batch,03_multiple_corridors/input_01,3,position_error_max,10,10,0,,0.14947810239391202,0.1378543287755566,0.15796909467502648,0.020114765899469894,0.29089883534684824
input_batch,03_multiple_corridors/input_01,3,path_error_rms,10,10,0,,0.024539943948008215,0.023526904147327075,0.025067785611163053,0.0015408814638359775,0.02957467105218485
input_batch,03_multiple_corridors/input_01,3,path_error_p95,10,10,0,,0.047481778493049326,0.046718494379520484,0.05026773468368412,0.003549240304163634,0.06847740827955155
input_batch,03_multiple_corridors/input_01,3,path_error_max,10,10,0,,0.06066799026419223,0.05754841742411024,0.06446010590612923,0.006911688482018993,0.09262498473347454
input_batch,03_multiple_corridors/input_01,3,heading_abs_error_rms,10,10,0,,0.1563412461058311,0.15257947303100775,0.16187260191635083,0.009293128885343088,0.299432729548433
input_batch,03_multiple_corridors/input_01,3,final_position_error,10,10,0,,0.03752747664361098,0.030230215699416144,0.03982038854632514,0.009590172846908999,0.04718197110303224
input_batch,03_multiple_corridors/input_01,3,final_heading_abs_error,10,10,0,,0.09596030300903924,0.09492951013926554,0.09714173228405165,0.0022122221447861135,0.09854199045306888
